,id,latitude,longitude,accommodates,price
0,50188,35.9,14.5,6.0,160.0
1,53723,35.89489,14.51191,2.0,100.0
2,102120,35.9,14.2875,8.0,83.0
3,109123,35.9,14.28939,4.0,55.0
4,113998,35.89278,14.50396,2.0,49.0
5,114044,35.89977,14.49223,2.0,49.0
6,114643,35.91748,14.48653,4.0,70.0
7,115387,35.9,14.5,2.0,60.0
8,116725,35.95338,14.42346,6.0,180.0
9,122193,35.89343,14.48897,3.0,128.9
10,152275,35.91796,14.48802,1.0,40.0
11,156257,35.90856,14.49841,5.0,40.0
12,158233,35.91287,14.49484,2.0,49.0
13,161025,35.89771,14.48395,3.0,14.0
14,179261,35.94915,14.41183,4.0,50.0
15,199432,35.91794,14.48802,1.0,40.0
16,207818,35.88385,14.40075,3.0,89.0
17,227848,35.90546,14.49121,4.0,31.0
18,230592,35.9,14.30789,7.0,99.0
19,237034,35.90974,14.494,2.0,28.0
20,237883,35.95494,14.3634,4.0,65.0
21,256834,35.89093017578125,14.505796432495115,2.0,83.0
22,269987,35.91267608457217,14.487001895904536,6.0,89.0
23,271198,35.86641,14.51325,4.0,213.0
24,271227,35.94598,14.38977,6.0,178.0
25,273264,35.94607,14.39276,4.0,125.0
26,285021,35.90397,14.49334,2.0,39.0
27,325251,35.95068,14.41765,6.0,55.0
28,334878,35.9,14.29373,2.0,200.0
29,350354,35.91515,14.50178,11.0,125.0
30,357173,35.91291,14.49644,3.0,90.0
31,363651,35.89093017578125,14.505667686462402,2.0,86.0
32,370503,35.89774,14.51734,2.0,71.0
33,373266,35.892221,14.503616,2.0,78.0
34,373267,35.89093017578125,14.505778312683104,2.0,80.0
35,404210,35.9,14.5,6.0,135.0
36,417612,35.88824,14.52343,2.0,96.0
37,424572,35.90487,14.48972,4.0,34.0
38,432260,35.94457,14.38613,2.0,100.0
39,452721,35.91736,14.48263,4.0,70.0
40,476282,35.96631,14.3567,6.0,110.0
41,492394,35.9567,14.36276,4.0,90.0
42,501516,35.91125,14.49672,6.0,99.0
43,503123,35.91244,14.49556,3.0,88.0
44,503298,35.85684,14.56619,5.0,62.0
45,503644,35.9,14.30957,8.0,160.0
46,503703,35.91323,14.49496,6.0,88.0
47,504283,35.90581,14.49332,2.0,35.0
48,541080,35.9,14.5,8.0,55.0
49,567544,35.9,14.5,4.0,85.0
50,586457,35.9,14.5,3.0,111.0
51,590615,35.9,14.5,4.0,85.0
52,597698,35.9,14.5,4.0,70.0
53,632404,35.9,14.5,4.0,90.0
54,636983,35.95136,14.40972,3.0,61.0
55,637763,35.91083,14.49955,9.0,100.3
56,640777,35.93716733404936,14.45292949676515,3.0,68.0
57,648361,35.90977,14.4741,4.0,30.0
58,650508,35.91724,14.4932,10.0,100.3
59,660239,35.90051,14.51482,3.0,76.0
60,671869,35.94855,14.40815,3.0,65.0
61,677023,35.91344,14.49604,3.0,90.0
62,694797,35.90931,14.50278,2.0,84.0
63,699199,35.89636,14.49317,6.0,116.0
64,706608,35.9,14.5,8.0,55.0
65,718401,35.9,14.5,8.0,140.0
66,723075,35.89542,14.51175,4.0,140.0
67,723533,35.896332,14.512641,2.0,137.0
68,757581,35.88469,14.40374,2.0,70.0
69,763585,35.86676,14.55922,2.0,80.0
70,763601,35.86689,14.56084,5.0,54.0
71,764521,35.89359,14.3438,10.0,45.0
72,770174,35.90948,14.48717,2.0,75.0
73,775686,35.89751,14.51568,2.0,108.0
74,788959,35.946228,14.390591,4.0,100.3
75,789063,35.88473,14.47123,2.0,60.0
76,791201,35.89734,14.48652,2.0,74.0
77,836671,35.91151,14.49518,6.0,91.0
78,847075,35.89799,14.51627,2.0,173.0
79,851510,35.90008,14.51093,2.0,157.0
80,880548,35.9,14.29287,4.0,85.0
81,917687,35.9,14.5,7.0,149.0
82,948264,35.91505,14.50214,4.0,60.0
83,960355,35.898373,14.514454,2.0,96.0
84,961058,35.91404,14.49474,5.0,77.0
85,965886,35.91008,14.49948,2.0,128.9
86,996883,35.90525,14.49641,4.0,125.0
87,998761,35.8837,14.40081,4.0,118.0
88,1009244,35.8967,14.51243,6.0,100.3
89,1013670,35.92214,14.48268,4.0,100.0
90,1050747,35.86412811279297,14.567938804626465,6.0,100.3
91,1062095,35.9,14.5,4.0,150.0
92,1090061,35.9658,14.3598,6.0,184.0
93,1097214,35.89133,14.50557,2.0,59.0
94,1099375,35.9084,14.50279,2.0,36.0
95,1109646,35.95053,14.387,6.0,90.0
96,1109764,35.9,14.29682,9.0,250.0
97,1115901,35.91365,14.48627,2.0,35.0
98,1119284,35.92701,14.46155,2.0,77.0
99,1122617,35.91518,14.4895,2.0,55.0
100,1125894,35.91402,14.49844,6.0,100.0
101,1129820,35.91839,14.48816,4.0,90.0
102,1159584,35.89583,14.50833,2.0,89.0
103,1164595,35.87229,14.43928,3.0,40.0
104,1165218,35.86695,14.57345,9.0,120.0
105,1165398,35.89766,14.49512,7.0,98.0
106,1170614,35.95281,14.41345,4.0,168.0
107,1176933,35.9132,14.4962,6.0,82.0
108,1179621,35.91425323486328,14.468161582946776,2.0,59.0
109,1181787,35.94643,14.41754,2.0,23.0
110,1188612,35.90056,14.51652,2.0,129.0
111,1193382,35.9,14.5,6.0,150.0
112,1203140,35.94454,14.42572,6.0,163.0
113,1214971,35.9099,14.4973,4.0,102.0
114,1229813,35.91293,14.49452,5.0,186.0
115,1230651,35.92083,14.37774,10.0,200.0
116,1246323,35.94655,14.39156,2.0,60.0
117,1247297,35.91134,14.49935,2.0,30.0
118,1266987,35.920611829779645,14.49195121671126,2.0,128.9
119,1268797,35.92035,14.49154,6.0,77.0
120,1277993,35.9182,14.38514,2.0,45.0
121,1293551,35.88758,14.51839,2.0,83.0
122,1305239,35.90891,14.48221,2.0,30.0
123,1306145,35.88913,14.50632,2.0,49.0
124,1306601,35.9,14.463169,6.0,100.3
125,1306751,35.88916,14.50538,2.0,49.0
126,1306782,35.88945,14.50456,2.0,49.0
127,1327486,35.91147,14.50285,2.0,156.0
128,1331795,35.91029,14.50323,4.0,156.0
129,1332005,35.91028,14.50326,1.0,30.0
130,1335886,35.9103,14.50326,2.0,150.0
131,1340744,35.95504,14.42286,6.0,110.0
132,1345050,35.91861,14.48264,3.0,65.0
133,1350781,35.91024,14.50327,1.0,28.0
134,1394608,35.89853,14.50894,3.0,68.0
135,1395801,35.90984,14.4209,2.0,40.0
136,1396233,35.91017,14.50331,1.0,28.0
137,1397883,35.91023,14.50331,1.0,28.0
138,1398746,35.89866,14.50899,3.0,77.0
139,1401077,35.91094,14.50493,8.0,90.0
140,1412080,35.91365,14.4969,2.0,75.0
141,1412967,35.87309,14.44566,2.0,40.0
142,1420439,35.85723,14.56418,5.0,55.0
143,1435224,35.960548,14.36819,4.0,100.3
144,1435434,35.95235,14.3501,12.0,100.3
145,1435500,35.961491,14.367974,6.0,100.3
146,1435501,35.96019608743603,14.368420560019583,12.0,100.3
147,1435683,35.95235,14.3501,6.0,100.3
148,1439231,35.91275,14.4947,6.0,122.0
149,1458386,35.88463,14.39947,3.0,159.0
150,1461515,35.9,14.5,4.0,55.0
151,1465441,35.95104,14.41406,6.0,125.0
152,1511699,35.95192,14.41845,2.0,46.0
153,1530139,35.86543,14.55924,6.0,80.0
154,1543501,35.94999,14.40927,3.0,80.0
155,1559632,35.9,14.5,4.0,40.0
156,1575722,35.9,14.5,4.0,63.0
157,1616907,35.94188,14.35662,6.0,100.3
158,1617185,35.9,14.5,6.0,100.3
159,1633192,35.85227400457516,14.531015815776987,9.0,100.3
160,1655687,35.9,14.5,6.0,213.0
161,1667068,35.9,14.5,4.0,233.0
162,1667215,35.9,14.5,9.0,100.3
163,1669974,35.9,14.5,4.0,100.3
164,1694761,35.94872,14.40696,3.0,128.9
165,1701852,35.89301,14.34372,10.0,45.0
166,1715125,35.96676,14.36161,6.0,195.0
167,1715927,35.92182,14.48011,4.0,62.0
168,1741710,35.90093,14.51398,2.0,97.0
169,1762655,35.90089,14.51315,2.0,110.0
170,1766613,35.9,14.29826,2.0,79.0
171,1766792,35.9,14.2981,5.0,94.0
172,1766867,35.90916,14.48928,1.0,28.0
173,1772632,35.9,14.5,3.0,70.0
174,1781915,35.9,14.5,7.0,155.0
175,1785153,35.86478,14.56823,5.0,86.0
176,1796573,35.95063,14.41441,2.0,44.0
177,1806369,35.9,14.5,10.0,130.0
178,1836447,35.9,14.5,8.0,70.0
179,1867572,35.89619556223833,14.512316944018735,4.0,250.0
180,1868595,35.91695,14.49002,2.0,130.0
181,1899420,36.02271,14.2927,4.0,190.0
