,id,latitude,longitude,accommodates,price
0,35797,19.38382,-99.2,2.0,1093.1
1,44616,19.41162,-99.17794,2.9,1511.6
2,67703,19.41152,-99.16857,4.0,2029.0
3,70644,19.35614,-99.16308,2.0,1140.0
4,107078,19.43211,-99.19327,2.0,1093.1
5,131610,19.35416,-99.16488,2.0,1511.6
6,165772,19.40826,-99.18659,2.9,1093.1
7,171109,19.39675,-99.17581,2.0,335.0
8,1001517,19.3461,-99.15911,6.0,1511.6
9,1011428,19.34326,-99.19303,6.0,1093.1
10,1013504,19.34034,-99.18345,1.0,384.0
11,1051636,19.40592,-99.1691,1.0,947.0
12,1066945,19.35445,-99.16251,2.0,1200.0
13,1087636,19.4,-99.18356,1.0,526.0
14,1164876,19.35164,-99.15289,6.0,1093.1
15,1167552,19.41317,-99.15735,2.0,750.0
16,1170780,19.39129,-99.1888,2.0,406.0
17,180808,19.4239,-99.1689,2.0,1642.0
18,187030,19.41057,-99.1773,4.0,1511.6
19,187745,19.41057,-99.1773,3.0,1511.6
20,194937,19.41057,-99.1773,2.0,1093.1
21,198778,19.41412,-99.17891,3.0,800.0
22,1187817,19.40915,-99.17321,3.0,900.0
23,1211383,19.355,-99.16181,2.0,1511.6
24,1226234,19.42851,-99.19298,4.0,1093.1
25,1236668,19.4336,-99.13224,4.0,1063.0
26,1283294,19.42801,-99.16467,4.0,1447.0
27,1286695,19.43514,-99.18361,2.0,1068.0
28,1288566,19.43179,-99.19426,2.0,1093.1
29,1309198,19.34356,-99.1286,2.0,500.0
30,1363110,19.39165,-99.18885,2.0,406.0
31,204887,19.4059,-99.17548,2.0,780.0
32,245507,19.4236,-99.16979,3.0,950.0
33,246057,19.42335,-99.16963,2.0,991.0
34,247543,19.43516,-99.13806,1.0,676.0
35,252618,19.41472,-99.15602,1.0,344.0
36,256555,19.40674,-99.18753,2.9,1093.1
37,271048,19.42485,-99.17797,2.0,800.0
38,276504,19.38229,-99.12744,2.0,1511.6
39,1378164,19.39829,-99.13817,2.0,800.0
40,1403168,19.40288,-99.17884,2.0,618.0
41,1403218,19.44324,-99.14649,2.9,1093.1
42,1404363,19.38015,-99.17402,2.0,800.0
43,1411454,19.41701,-99.1658,2.0,1318.0
44,1441434,19.42796897888184,-99.16129302978516,2.0,1825.0
45,1462549,19.42833,-99.17634,2.0,1100.0
46,1467394,19.35407,-99.15812,2.0,622.0
47,1476127,19.38021,-99.16878,2.0,890.0
48,281134,19.41124,-99.17748,3.0,1511.6
49,287940,19.41236,-99.17533,2.0,541.0
50,291804,19.36305,-99.15412,1.0,1511.6
51,298873,19.43494,-99.1455,4.0,1511.6
52,323030,19.41368,-99.17907,3.0,800.0
53,325812,19.43319,-99.14665,1.0,1511.6
54,326296,19.34034,-99.18345,2.0,552.0
55,326475,19.41444,-99.15734,2.0,1511.6
56,329776,19.4,-99.17757,2.0,348.0
57,331030,19.34549,-99.15872,2.0,1300.0
58,350079,19.40639,-99.16686,1.0,1511.6
59,1483664,19.35783,-99.12273,2.0,1511.6
60,1547284,19.37845,-99.17221,5.0,766.0
61,1555819,19.4161,-99.1661,2.0,1318.0
62,1565220,19.34735,-99.19016,2.0,1511.6
63,1627630,19.41501,-99.16565,3.0,1350.0
64,1635595,19.43149,-99.165543,3.0,1314.0
65,1656382,19.41095,-99.18215,1.0,1511.6
66,1676923,19.41965,-99.15814,2.0,1913.0
67,362583,19.42978,-99.17076,4.0,1546.0
68,375032,19.4075,-99.17561,2.9,1093.1
69,386265,19.3424,-99.15419,1.0,324.0
70,395446,19.41068,-99.17732,2.0,1093.1
71,419110,19.41017,-99.17886,2.0,638.0
72,454693,19.40835638269101,-99.17329884322169,2.0,1401.0
73,456242,19.33132,-99.2,1.0,1511.6
74,1727725,19.34923,-99.19307,2.0,2043.0
75,1736063,19.3486,-99.19296,2.0,1511.6
76,1768385,19.43432,-99.14581,6.0,958.0
77,1798108,19.41638,-99.16868,2.0,1300.0
78,1826212,19.38089,-99.17245,4.0,1000.0
79,1850394,19.43122,-99.15562,4.0,2595.0
80,1869809,19.36823,-99.18607,4.0,950.0
81,1877286,19.42804,-99.16463,4.0,1350.0
82,458808,19.42675,-99.1613,2.0,802.0
83,486913,19.43898,-99.16142,2.0,1011.0
84,491412,19.38875,-99.2,1.0,1143.0
85,499553,19.43621,-99.13874,7.0,1093.1
86,501037,19.41578,-99.17425,4.0,1150.0
87,1919273,19.42131,-99.16722,2.0,450.0
88,1919310,19.42242,-99.16823,2.0,350.0
89,1919438,19.42048,-99.15678,3.0,1049.0
90,1920070,19.4,-99.17076,1.0,1511.6
91,1925256,19.34868,-99.1943,2.0,1511.6
92,1945351,19.4,-99.2,2.0,513.0
93,1988412,19.38672,-99.15554,3.0,1511.6
94,1999474,19.42073,-99.16173,4.0,1932.0
95,2030859,19.40692,-99.18831,6.0,883.0
96,517503,19.43784,-99.2,2.0,576.0
97,527473,19.41887,-99.17333,4.0,2302.0
98,544105,19.44289207458496,-99.20138549804688,2.0,950.0
99,567176,19.45535,-99.15867,1.0,310.0
100,571166,19.41346,-99.1775,3.0,1872.0
101,579534,19.41269,-99.15512,2.0,600.0
102,583039,19.43374,-99.14616,4.0,1383.0
103,607833,19.48321,-99.2,2.0,386.0
104,609012,19.43221,-99.15708,2.0,1449.0
105,2033931,19.42887,-99.17651,2.0,801.0
106,2056514,19.35711,-99.16049,4.0,908.0
107,2056622,19.35538,-99.16276,3.0,1874.0
108,2056638,19.35353,-99.16299,3.0,1527.0
109,2072354,19.35358,-99.16948,2.0,750.0
110,2075738,19.41909,-99.16043,2.0,2705.0
111,2083241,19.4163,-99.16613,3.0,1350.0
112,2084093,19.43949,-99.2,2.0,444.0
113,2094427,19.43573,-99.18955,2.0,1500.0
114,609594,19.4,-99.2,5.0,870.0
115,617137,19.44614,-99.15868,2.0,1511.6
116,640803,19.35106,-99.19789,4.0,1511.6
117,642725,19.40809,-99.18109,2.0,1511.6
118,642797,19.41499,-99.18215,6.0,1093.1
119,654106,19.44333,-99.18497,1.0,657.0
120,655422,19.41417,-99.2,2.9,992.0
121,691019,19.43422,-99.145658,6.0,1300.0
122,696031,19.44226,-99.18406,4.0,1130.0
123,696037,19.4418,-99.18402,6.0,1600.0
124,704779,19.43103,-99.14661,2.0,990.0
125,728372,19.44222,-99.14461,2.9,2705.0
126,2112138,19.35284,-99.1695,2.0,850.0
127,2117709,19.34219,-99.15952,2.0,1511.6
128,2118573,19.38777,-99.17532,6.0,1805.0
129,2127400,19.4199,-99.16044,2.0,1836.0
130,2130176,19.41416,-99.1568,4.0,1022.0
131,2171338,19.43339,-99.15467,5.0,1836.0
132,2178349,19.42914772033692,-99.15665435791016,4.0,996.0
133,2228415,19.34762,-99.19315,6.0,1093.1
134,2238309,19.41689,-99.17792,2.0,1480.0
135,737328,19.43059,-99.17073,2.0,1275.0
136,741557,19.43059,-99.17073,2.0,1353.0
137,760912,19.40891,-99.16083,2.0,773.0
138,783080,19.33009,-99.21418,1.0,966.0
139,783480,19.35319,-99.2,4.0,500.0
140,796477,19.41824,-99.1756,2.0,580.0
141,817291,19.38468,-99.17708,4.0,1024.0
142,822005,19.40243,-99.17828,6.0,1347.0
143,824016,19.40915,-99.17321,2.0,900.0
144,2267075,19.43356817253434,-99.15863118836056,2.0,509.0
145,2284377,19.436834,-99.207855,2.0,966.0
146,2289797,19.42054,-99.17074,4.0,1050.0
147,2297850,19.42887,-99.17651,2.0,699.0
148,2302615,19.42829,-99.16516,2.0,2415.0
149,2307983,19.42589,-99.16634,5.0,1868.0
150,2335400,19.4,-99.16682,1.0,450.0
151,2345760,19.3988,-99.17335,2.0,500.0
152,2373420,19.4,-99.16962,1.0,430.0
153,826691,19.40915,-99.17321,2.0,850.0
154,826760,19.40915,-99.17321,4.0,971.0
155,828714,19.34183,-99.15533,4.0,1511.6
156,832805,19.44262,-99.14566,2.0,483.0
157,858277,19.41353,-99.17531,6.0,1093.1
158,865012,19.43078,-99.17011,2.0,1275.0
159,868843,19.43068,-99.17007,2.0,1159.0
160,2401724,19.4171,-99.1725,4.0,1657.0
161,2406485,19.40103,-99.17618,2.0,450.0
162,2419999,19.43432,-99.14581,3.0,970.0
163,2424204,19.43794,-99.13644,4.0,1913.0
164,2444573,19.36229,-99.17355,2.0,966.0
165,2447795,19.41245,-99.18961,1.0,1159.0
166,2484037,19.41059,-99.17501,2.0,1100.0
167,2516668,19.39366,-99.15086,1.0,1511.6
168,2519535,19.35418,-99.16338,2.0,1200.0
169,868986,19.4306,-99.17074,2.0,1159.0
170,869063,19.43052,-99.17003,2.0,1353.0
171,883511,19.44182,-99.14639,2.9,1093.1
172,898633,19.42063,-99.16586,2.0,1743.0
173,913084,19.43956,-99.17263,4.0,814.0
174,939721,19.42288,-99.15488,3.0,1430.0
175,997247,19.41434,-99.15857,4.0,1449.0
176,4074709,19.41896,-99.15508,4.0,1329.0
177,2521698,19.41356,-99.17586,2.0,1546.0
178,2537481,19.42077,-99.16015,2.0,1990.0
179,2537521,19.4218,-99.16474,4.0,1093.1
180,2540221,19.34514,-99.16218,3.0,1511.6
181,2546210,19.39561,-99.15013,1.0,250.0
182,2547576,19.34706,-99.16568,2.0,1511.6
183,2558376,19.41875599395923,-99.16854557754895,4.0,1436.0
184,2643099,19.33753,-99.15454,2.0,1511.6
185,2666125,19.4141,-99.17348,4.0,1511.6
186,4084998,19.40696,-99.16899,4.0,1850.0
187,4097827,19.40906,-99.18165,7.0,2321.0
188,4097894,19.35291,-99.16764,2.0,790.0
189,4103618,19.41411,-99.16284,2.0,687.0
190,4118496,19.43792,-99.19647,5.0,2177.0
191,4133239,19.43326,-99.16806,2.0,905.0
192,2702917,19.41722,-99.18002,1.0,700.0
193,2715327,19.43341,-99.15124,7.0,985.0
194,2716028,19.42423,-99.16917,3.0,1093.1
195,2745912,19.37496,-99.17334,1.0,369.0
196,2784853,19.41833,-99.11802,2.0,1099.0
197,2789086,19.42939,-99.15675,1.0,1511.6
198,2794006,19.37892,-99.1889,2.0,755.0
199,2836677,19.44128,-99.18886,1.0,1353.0
200,2848002,19.35445,-99.16251,2.0,1300.0
201,4142890,19.43107,-99.14473,4.0,1080.0
202,4149567,19.35777,-99.2,1.0,1511.6
203,4171282,19.35721,-99.16538,3.0,1511.6
204,4173593,19.41325,-99.15733,1.0,707.0
205,4197547,19.4273,-99.16889,2.0,2705.0
206,4234262,19.41104,-99.17168,3.0,1184.0
207,4263660,19.427446469054026,-99.13609032484908,2.0,444.0
208,4269477,19.36362,-99.16278,2.0,800.0
209,2848113,19.35472,-99.16258,2.0,1511.6
210,2863665,19.43238,-99.17465,2.0,600.0
211,2867671,19.37748,-99.18156,2.0,1511.6
212,2894095,19.36045,-99.2,6.0,1990.0
213,2905087,19.43145631325904,-99.17251368036464,2.0,483.0
214,2908932,19.42644,-99.161,4.0,1159.0
215,2908957,19.42536,-99.16043,2.0,947.0
216,2918765,19.42297,-99.20626,2.0,985.0
217,4274998,19.4,-99.19127,2.0,1093.1
218,4276768,19.4,-99.12838,2.0,550.0
219,4278958,19.4366,-99.19059,5.0,1093.1
220,4285417,19.43167,-99.16429,2.0,1101.0
221,4286935,19.40755,-99.1864,5.0,1063.0
222,4297680,19.37781,-99.15996,1.0,1511.6
