,id,latitude,longitude,accommodates,price
0,19898,48.42515,-123.33977,1.0,188.5
1,83515,48.5,-123.49996,2.0,175.0
2,168460,48.4162,-123.3679,3.0,200.0
3,185732,48.50589,-123.46357,5.0,199.0
4,193366,48.42574,-123.3376,6.0,135.0
5,201427,48.50459,-123.46259,3.0,69.0
6,201441,48.50474,-123.46352,2.0,139.0
7,203416,48.5,-123.35163,2.0,146.0
8,226028,48.42654,-123.35134,3.0,110.0
9,226030,48.42888,-123.35237,4.0,188.5
10,237053,48.41222,-123.37,2.0,89.0
11,250576,48.44196,-123.35599,2.0,60.0
12,306192,48.38343,-123.70666,4.0,188.5
13,394086,48.43202,-123.32535,2.0,110.0
14,401073,48.41282,-123.37677,5.0,100.0
15,405558,48.41101,-123.37691,4.0,188.5
16,408315,48.66168,-123.40394,5.0,155.5
17,410541,48.42599,-123.33919,2.0,76.0
18,410542,48.42436,-123.341,4.0,76.0
19,416786,48.42634,-123.34648,5.0,113.0
20,417778,48.43202,-123.32673,2.0,120.0
21,461498,48.42398,-123.33868,4.0,76.0
22,461499,48.42491,-123.34019,6.0,113.0
23,463027,48.41235,-123.37658,2.0,76.0
24,472025,48.5,-123.57325,2.0,230.0
25,514811,48.45318,-123.41749,2.0,135.0
26,515418,48.42474,-123.33922,6.0,106.0
27,528492,48.43003,-123.37046,2.0,159.0
28,559726,48.42568,-123.33997,3.0,76.0
29,561477,48.5,-123.57831,3.0,225.0
30,660733,48.42634,-123.33957,5.0,106.0
31,666592,48.41245,-123.3773,4.0,86.0
32,668372,48.4589,-123.4276,3.0,113.0
33,687407,48.5,-123.31079,6.0,125.0
34,734855,48.42213,-123.31058,6.0,188.5
35,739975,48.51664,-123.36694,4.0,188.5
36,784093,48.41493,-123.3689,1.0,95.0
37,796027,48.45505,-123.38602,4.0,170.0
38,823111,48.41787,-123.48269,2.0,110.0
39,910427,48.5,-123.33073,4.0,80.0
40,936367,48.41347,-123.34961,2.0,89.0
41,939467,48.5,-123.35109,8.0,155.5
42,955575,48.5,-123.36252,3.0,229.0
43,973849,48.42413,-123.34064,4.0,76.0
44,978771,48.41419,-123.36947,1.0,79.0
45,985260,48.39622,-123.49174,2.0,188.5
46,1015996,48.41999,-123.31754,6.0,155.5
47,1038822,48.41307,-123.37635,4.0,86.0
48,1080149,48.5,-123.53203,6.0,250.0
49,1080266,48.5,-123.53189,6.0,325.0
50,1080594,48.41529,-123.36792,2.0,122.0
51,1114544,48.5,-123.53199,2.0,190.0
52,1114575,48.5,-123.53253,2.0,190.0
53,1135175,48.42778,-123.36183,2.0,74.0
54,1156460,48.40888,-123.32249,8.0,155.5
55,1186607,48.67706,-123.48604,5.0,99.0
56,1194888,48.42778,-123.36183,2.0,80.0
57,1216960,48.5,-123.41367,2.0,155.0
58,1237030,48.5,-123.28422,2.0,188.5
59,1244138,48.4504,-123.36442,2.0,75.0
60,1244164,48.45091,-123.36452,2.0,90.0
61,1295158,48.5,-123.32424,6.0,256.0
62,1298140,48.43036,-123.3701,2.0,100.0
63,1352981,48.5,-123.39638,7.0,274.0
64,1393334,48.41755,-123.36855,4.0,150.0
65,1423359,48.57148,-123.40348,4.0,100.0
66,1429004,48.5,-123.54616,6.0,155.5
67,1431103,48.40627,-123.35579,3.0,99.0
68,1437207,48.44427,-123.37355,6.0,150.0
69,1438200,48.5,-123.26952,3.6,155.5
70,1507543,48.42168,-123.32765,2.0,99.0
71,1535322,48.39323,-123.61809,2.0,182.0
72,1625194,48.42963,-123.36333,2.0,128.0
73,1636029,48.5,-123.2781,4.0,175.0
74,1656504,48.5,-123.50023,4.0,95.0
75,1672868,48.5,-123.49923,2.0,123.0
76,1683153,48.37585,-123.4,2.0,150.0
77,1720832,48.5,-123.25866,2.0,196.0
78,1807413,48.36646,-123.73376,2.0,188.5
79,1825544,48.66828,-123.40711,3.0,195.0
80,1826554,48.66164,-123.41283,4.0,139.0
81,1948248,48.42047,-123.38496,2.0,152.0
82,1993822,48.41567,-123.36758,2.0,188.5
83,2015937,48.5,-123.25266,6.0,200.0
84,2027067,48.5,-123.54897,4.0,160.0
85,2033520,48.45925,-123.48756,2.0,85.0
86,2128631,48.41726,-123.4058,2.0,103.0
87,2138626,48.42176,-123.36168,4.0,299.0
88,2138926,48.43747,-123.30444,3.6,155.5
89,2140350,48.44363,-123.34067,3.0,90.0
90,2149566,48.3759,-123.4,4.0,195.0
91,2392116,48.42756,-123.36202,2.0,80.0
92,2392214,48.42778,-123.36183,1.0,40.0
93,2488004,48.73663,-123.20257,4.0,185.0
94,2509559,48.45115,-123.32964,6.0,155.5
95,2544515,48.64516,-123.39838,6.0,155.5
96,2560212,48.64531,-123.39982,2.0,214.0
97,2600175,48.46329,-123.41661,4.0,307.0
98,2682515,48.44379,-123.32464,2.0,145.0
99,2685512,48.5,-123.56503,3.6,155.5
100,2695286,48.42205,-123.36658,2.0,115.0
101,2709790,48.43566,-123.4083,3.0,188.5
102,2748050,48.68379,-123.46234,2.0,150.0
103,2756438,48.5,-123.43156,3.6,155.5
104,2770659,48.42312,-123.47298,4.0,150.0
105,2771699,48.45238,-123.44484,6.0,200.0
106,2777765,48.42312,-123.47298,4.0,148.0
107,2818153,48.5,-123.49928,2.0,150.0
108,2839203,48.42468,-123.34637,3.0,66.0
109,2858425,48.42946,-123.32591,1.0,85.0
110,2874927,48.42312,-123.47298,2.0,160.0
111,2883153,48.5569,-123.4,3.6,155.5
112,2970506,48.41846,-123.48017,1.0,150.0
113,2970733,48.41818,-123.48099,2.0,250.0
114,2974477,48.41811,-123.48018,1.0,156.0
115,2980014,48.41309,-123.33062,6.0,160.0
116,2997001,48.41632,-123.51377,2.0,188.5
117,3027057,48.5,-123.39287,8.0,155.5
118,3043831,48.48817,-123.32121,2.0,188.5
119,3080917,48.5,-123.56399,2.0,150.0
120,3084861,48.36216,-123.4,4.0,215.0
121,3121473,48.45194,-123.27862,8.0,155.5
122,3133074,48.41347,-123.30867,2.0,180.0
123,3175704,48.41168,-123.3326,3.6,155.5
124,3182206,48.43313,-123.34873,5.0,188.5
125,3219266,48.41352,-123.37347,4.0,110.0
126,3294156,48.4615,-123.29888,1.0,55.0
127,3380702,48.37733,-123.73161,2.0,69.0
128,3402265,48.5,-123.44538,4.0,325.0
129,3415390,48.43858,-123.4,6.0,155.5
130,3424337,48.42721,-123.36218,4.0,90.0
131,3440301,48.44317,-123.53394,4.0,188.5
132,3486035,48.5,-123.21739,6.0,155.5
133,3512430,48.46214,-123.29948,2.0,68.0
134,3563531,48.5,-123.49136,2.0,136.0
135,3651435,48.47223,-123.39065,1.0,39.0
136,3655817,48.52583,-123.37052,4.0,113.0
137,3719262,48.46502,-123.34168,2.0,188.5
138,3875655,48.43349,-123.4,8.0,161.0
139,3935877,48.4669624,-123.411246,4.0,130.0
140,3938082,48.47011,-123.41582,4.0,275.0
141,3972032,48.74197,-123.21624,4.0,225.0
142,3972446,48.42133,-123.38119,6.0,155.5
143,3978639,48.5,-123.25365,2.0,125.0
144,4025632,48.61515,-123.40429,8.0,188.5
145,4029299,48.42023,-123.50897,2.0,158.0
146,4050671,48.5,-123.30196,6.0,246.0
147,4053260,48.57259,-123.48942,2.0,99.0
148,4137885,48.3913,-123.50225,4.0,80.0
149,4169620,48.48746,-123.54453,4.0,151.0
150,4277981,48.41487,-123.36778,4.0,179.0
151,4279727,48.4135,-123.37169,4.0,188.5
152,4279824,48.4126,-123.37325,2.0,90.0
153,4280016,48.5,-123.50775,2.0,154.0
154,4280067,48.40807,-123.35635,2.0,88.0
155,4294605,48.3596,-123.4,5.0,203.0
156,4334268,48.42034,-123.40819,6.0,188.5
157,4364105,48.38877,-123.50323,4.0,188.5
158,4370453,48.55459,-123.4,2.0,135.0
159,4412326,48.42586,-123.35575,2.0,89.0
160,4418188,48.63276,-123.46358,6.0,225.0
161,4482384,48.5,-123.31689,4.0,155.5
162,4558325,48.45469,-123.41523,2.0,100.0
163,4558328,48.53706,-123.38587,4.0,188.5
164,4671921,48.42234,-123.37936,6.0,155.5
165,4672283,48.51308,-123.36322,2.0,200.0
166,4676968,48.5,-123.57377,4.0,155.5
167,4754122,48.42923,-123.3258,1.0,85.0
168,4862291,48.47393,-123.39195,1.0,39.0
169,4985846,48.51751,-123.3683,5.0,155.5
170,4997133,48.42615,-123.36088,5.0,149.0
171,5019513,48.56906,-123.49252,2.0,200.0
172,5033866,48.42789,-123.36105,4.0,181.0
173,5036991,48.47246,-123.39538,2.0,129.0
174,5105228,48.42677,-123.37604,2.0,188.5
175,5132925,48.4611,-123.32605,3.6,155.5
176,5147135,48.53033,-123.42525,2.0,75.0
177,5151927,48.4374,-123.4,4.0,249.0
178,5273102,48.5,-123.49261,6.0,198.0
179,5281150,48.42373,-123.41349,4.0,188.5
180,5308738,48.68752,-123.40244,2.0,89.0
181,5393523,48.43743,-123.39192,3.0,135.0
182,5397115,48.44282,-123.35653,5.0,236.0
183,5466260,48.5,-123.50057,3.0,196.0
184,5498331,48.44103,-123.35462,2.0,95.0
185,5499273,48.5,-123.32097,7.0,188.5
186,5500269,48.48506,-123.31855,4.0,155.0
187,5562249,48.52036,-123.36643,2.0,135.0
188,5581937,48.62036,-123.41879,4.0,150.0
189,5671750,48.42648,-123.36352,2.0,85.0
190,5807008,48.44282,-123.34842,2.0,85.0
191,5840890,48.5,-123.5696958,8.0,188.5
192,5851116,48.4297,-123.36837,4.0,136.0
193,5884155,48.48788,-123.32088,1.0,44.0
194,5905105,48.459014892578125,-123.45104217529295,2.0,140.0
195,5920218,48.5,-123.31615,2.0,188.5
196,5920467,48.4813,-123.33299,4.0,188.5
197,5948014,48.5,-123.32552,4.0,155.5
198,5959264,48.5,-123.19687,3.0,95.0
199,5969673,48.42595,-123.36258,2.0,188.5
200,5993234,48.42632,-123.36296,4.0,146.0
201,6000445,48.40056,-123.6945,3.0,98.0
202,6066283,48.55365,-123.4,4.0,165.0
203,6162690,48.5,-123.32537,5.0,145.0
204,6170708,48.5,-123.49093,2.0,145.0
205,6272643,48.61609,-123.4048,5.0,188.5
206,6305884,48.3869,-123.74144,4.0,188.5
207,6311733,48.46809,-123.35316,4.0,96.0
208,6325322,48.5,-123.3127,2.0,188.5
209,6337715,48.41468,-123.38185,6.0,278.0
210,6342316,48.422,-123.38202,2.0,155.5
211,6358595,48.5,-123.53212,4.0,225.0
