,name,host_since,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,instant_bookable,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,The Impérial Suite + Parking + AC,2019-01-15,within an hour,100%,t,t,Saint-Roch,Entire rental unit,Entire home/apt,1 bath,"[""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Freezer"", ""Smart lock"", ""Free residential garage on premises"", ""Fire extinguisher"", ""Hot water kettle"", ""Oven"", ""Smoke alarm"", ""Self check-in"", ""Clothing storage"", ""Bathtub"", ""Body soap"", ""Paid washer \u2013 In building"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Hair dryer"", ""Stove"", ""TV"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Trash compactor"", ""Dining table"", ""Noise decibel monitors on property"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2024-06-21,2024-11-02,f,46.81246320616359,-71.22575474019776,6.0,1.0,2.0,3.0,138.0,2.0,365,20,46,76,107,37.0,37.0,7.0,4.95,4.95,4.95,4.97,5.0,4.7,4.81,10.0,10.0,0.0,0.0,7.82
1,206 - Les Lofts 1048,2014-11-13,Desconocido,-%,f,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire loft,Entire home/apt,1.5 baths,"[""Extra pillows and blankets"", ""Patio or balcony"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Crib"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2020-10-20,2024-10-01,f,46.81233,-71.21285,2.0,1.0,1.0,1.0,229.0,31.0,32,11,36,66,336,12.0,2.0,0.0,4.92,4.92,5.0,4.92,4.75,5.0,4.83,6.1,4.3,0.0,0.0,0.24
2,Appartement complet -Haute-ville,2020-06-05,Desconocido,-%,f,f,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire rental unit,Entire home/apt,1 bath,"[""Fire extinguisher"", ""Hot tub"", ""Paid parking on premises"", ""Washer"", ""TV"", ""Air conditioning"", ""First aid kit"", ""Smoke alarm"", ""BBQ grill"", ""Kitchen"", ""Wifi"", ""Carbon monoxide alarm""]",t,23/01/2025,24/01/2025,t,46.80696,-71.21749,4.0,1.0,1.0,2.0,143.2,31.0,365,30,60,90,365,0.0,0.0,0.0,4.7,4.8,5.0,5.0,5.0,4.8,4.7,2.0,1.0,0.0,0.0,2.4
3,Loft in the old city 12,2015-08-05,within an hour,100%,f,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire loft,Entire home/apt,1 bath,"[""Exterior security cameras on property"", ""Smart lock"", ""Hot water kettle"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Kitchenette"", ""Laundromat nearby"", ""Self check-in"", ""Heating"", ""Toaster"", ""Hot water"", ""Baking sheet"", ""Room-darkening shades"", ""Mini fridge"", ""Hair dryer"", ""TV"", ""Microwave"", ""Wifi"", ""Shampoo""]",t,2021-09-07,2024-08-23,t,46.8123,-71.21065,2.0,1.0,1.0,2.0,143.2,31.0,1125,6,36,66,156,14.0,5.0,0.0,4.5,4.57,4.8,4.71,4.64,4.93,4.5,7.0,7.0,0.0,0.0,0.36
4,Bed & Breakfast La California kudu,2011-06-07,within an hour,100%,f,t,Sillery,Private room in bed and breakfast,Private room,1 shared bath,"[""Carbon monoxide alarm"", ""Fire extinguisher"", ""Heating"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""TV"", ""Indoor fireplace"", ""First aid kit"", ""Free parking on premises"", ""Coffee maker"", ""Private patio or balcony"", ""Smoke alarm"", ""Breakfast"", ""Refrigerator"", ""Wifi"", ""Shampoo"", ""Dedicated workspace""]",t,2011-06-13,2023-08-21,f,46.8,-71.26831,3.0,1.0,1.0,2.0,185.0,2.0,365,0,0,0,177,176.0,0.0,0.0,4.91,4.94,4.95,4.94,4.96,4.82,4.92,3.0,0.0,0.0,0.0,1.08
5,Sunny and quietRoom to rent monthly,2013-05-03,within a few hours,80%,f,t,Duberger-Les Saules,Private room in home,Private room,1 shared bath,"[""Free dryer \u2013 In building"", ""Free washer \u2013 In building"", ""Free street parking"", ""Patio or balcony"", ""Fire extinguisher"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""City skyline view"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Backyard"", ""Refrigerator"", ""Dedicated workspace"", ""Keypad"", ""Lock on bedroom door"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Electric stove""]",t,2015-06-02,2024-10-25,f,46.80681,-71.2,1.0,1.0,1.0,1.0,20.0,31.0,1125,6,8,38,218,12.0,1.0,1.0,4.8,4.9,4.8,4.75,5.0,4.8,4.7,7.0,0.0,0.0,0.0,0.1
6,Grande chambre ds appart au centre-ville avec cour,2014-04-28,Desconocido,-%,f,t,Saint-Sauveur,Private room in rental unit,Private room,1.5 shared baths,"[""Ethernet connection"", ""Building staff"", ""Extra pillows and blankets"", ""Free street parking"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Fire pit"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""Free parking on premises"", ""Outdoor dining area"", ""Crib"", ""Hot water"", ""Backyard"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Hangers"", ""BBQ grill"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Washer"", ""Coffee maker"", ""Portable air conditioning"", ""Dishwasher"", ""30 inch TV with Netflix, standard cable"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo"", ""Electric stove""]",t,2015-05-06,2018-11-23,t,46.81194,-71.23544,3.0,1.0,1.0,2.0,100.0,31.0,365,26,56,86,226,68.0,0.0,0.0,4.75,4.73,4.77,4.91,4.89,4.65,4.84,1.0,0.0,0.0,0.0,0.59
7,Le logis de Charlotte,2015-01-04,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire guest suite,Entire home/apt,1 bath,"[""Clothing storage: dresser"", ""High chair"", ""Central heating"", ""Building staff"", ""Children's playroom"", ""Exterior security cameras on property"", ""Courtyard view"", ""River view"", ""55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix"", ""Park view"", ""Extra pillows and blankets"", ""Board games"", ""Freezer"", ""Pack \u2019n play/Travel crib"", ""Single level home"", ""Hot water kettle"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Smoke alarm"", ""Laundromat nearby"", ""Babysitter recommendations"", ""Outlet covers"", ""Self check-in"", ""Body soap"", ""Wine glasses"", ""Coffee"", ""City skyline view"", ""Bed linens"", ""Books and reading material"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Mini fridge"", ""Hair dryer"", ""Coffee maker: Nespresso"", ""Indoor fireplace"", ""Central air conditioning"", ""Cleaning products"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Wifi""]",t,2021-07-29,2024-10-20,t,46.80956,-71.2063,4.0,1.0,1.0,2.0,143.2,2.0,6,0,0,0,0,82.0,19.0,1.0,4.94,4.93,4.95,4.95,4.98,4.99,4.78,1.0,1.0,0.0,0.0,2.05
8,Montly rental - Charming apart in the Old Quebec,2014-08-31,within a few hours,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire rental unit,Entire home/apt,1 bath,"[""Building staff"", ""Freezer"", ""Pack \u2019n play/Travel crib"", ""Fire extinguisher"", ""Private entrance"", ""Oven"", ""Essentials"", ""Portable fans"", ""Smoke alarm"", ""Laundromat nearby"", ""Self check-in"", ""Body soap"", ""Clothing storage: closet and wardrobe"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""First aid kit"", ""Long term stays allowed"", ""Hot water"", ""Private patio or balcony"", ""Mosquito net"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Room-darkening shades"", ""L'Oreal conditioner"", ""Hair dryer"", ""Stove"", ""Indoor fireplace"", ""Coffee maker"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2015-07-21,2024-10-12,f,46.81443,-71.20789,2.0,1.0,1.0,1.0,40.0,31.0,1125,10,25,49,49,51.0,3.0,1.0,4.98,4.96,5.0,4.98,4.96,5.0,4.9,1.0,1.0,0.0,0.0,0.45
9,Quebec City Condo in the Vieux-Port,2013-06-24,within a few hours,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire condo,Entire home/apt,1 bath,"[""Central heating"", ""Ethernet connection"", ""Courtyard view"", ""Indoor fireplace: gas"", ""Extra pillows and blankets"", ""Clothing storage: closet and dresser"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Oven"", ""Essentials"", ""Portable fans"", ""Smoke alarm"", ""Barbecue utensils"", ""Self check-in"", ""Bathtub"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Long term stays allowed"", ""Hot water"", ""Private patio or balcony"", ""Hangers"", ""32 inch HDTV with Apple TV, standard cable"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""BBQ grill"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Lockbox"", ""Paid parking garage off premises"", ""Central air conditioning"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo"", ""Electric stove""]",t,2016-07-31,2024-08-31,f,46.81437,-71.2029,3.0,1.0,1.0,2.0,147.0,31.0,64,24,47,47,212,56.0,3.0,0.0,4.93,4.98,4.93,4.89,4.98,4.95,4.96,1.0,1.0,0.0,0.0,0.56
